order_id,date,customer_id,customer_age,customer_gender,customer_segment,product_category,product_name,unit_price,quantity,subtotal,discount_rate,discount_amount,tax_rate,tax_amount,shipping_cost,total_amount,sales_channel,payment_method,region,sales_rep,lead_source,is_returned,return_reason,satisfaction_score,year,month,quarter,day_of_week,is_weekend,profit_margin,profit
ORD_20241030_6224,2024-10-30,CUST_85511,51.0,Other,Premium,Electronics,Pro Set 339,5.0,1,5.0,0.1134,0.57,0.08,0.35,0.0,4.79,Retail Store,Credit Card,North America,Katherine Jackson,Social Media,False,,7.0,2024,10,4,Wednesday,False,0.4110066081155206,1.9687216528733436
ORD_20211228_1265,2021-12-28,CUST_29126,38.0,Female,Budget,Health & Beauty,Pro Kit 859,45.52,1,45.52,0.0,0.0,0.2,9.1,0.0,54.62,Retail Store,Cryptocurrency,Europe,Christopher Allen,Referral,False,,7.0,2021,12,4,Tuesday,False,0.43237818358903046,23.616496387632843
ORD_20241114_6935,2024-11-14,CUST_50594,65.0,Female,Standard,Toys & Games,Classic Tool 924,83.48,2,166.97,0.0,0.0,0.2,33.39,0.0,200.36,Retail Store,Debit Card,Europe,Timothy Duncan,Social Media,False,,8.0,2024,11,4,Thursday,False,0.18633845574924815,37.33477299391936
ORD_20210701_7156,2021-07-01,CUST_29879,57.0,Other,Budget,Home & Garden,Basic Set 306,140.68,2,281.37,0.0,0.0,0.08,22.51,0.0,303.88,Retail Store,Credit Card,North America,Tina Guzman,Referral,False,,7.0,2021,7,3,Thursday,False,0.35644446566762883,108.31634422707904
ORD_20220323_6638,2022-03-23,CUST_75808,31.0,Female,Standard,Home & Garden,Pro Widget 415,53.9,1,53.9,0.0,0.0,0.08,4.31,0.0,58.22,Retail Store,Cryptocurrency,North America,Heather Gonzalez,Social Media,False,,8.0,2022,3,1,Wednesday,False,0.3428889321658085,19.962993630693372
ORD_20220529_7343,2022-05-29,CUST_43774,24.0,Female,Standard,Electronics,Classic Widget 740,540.81,1,540.81,0.0,0.0,0.1,54.08,0.0,594.89,Online,Cash,Asia Pacific,Stephanie Herrera,Direct,False,,10.0,2022,5,2,Sunday,True,0.19761025283849415,117.55636331109179
ORD_20240924_7925,2024-09-24,CUST_67852,75.0,Female,Budget,Sports & Outdoors,Basic Tool 582,115.31,1,115.31,0.0,0.0,0.08,9.23,0.0,124.54,Online,Credit Card,North America,Gregory Figueroa,Email,False,,9.0,2024,9,3,Tuesday,False,0.2530251894727562,31.51175709693706
ORD_20230514_7920,2023-05-14,CUST_53610,57.0,Male,Standard,Health & Beauty,Basic Unit 961,69.29,1,69.29,0.0,0.0,0.2,13.86,0.0,83.15,Retail Store,Cash,Europe,Rebecca Marsh,Advertisement,False,,,2023,5,2,Sunday,True,0.43682720723381574,36.322182281491784
ORD_20211112_9670,2021-11-12,CUST_47104,64.0,Male,Standard,Books,Deluxe Widget 244,16.88,4,67.54,0.0,0.0,0.1,6.75,0.0,74.29,Retail Store,Credit Card,Asia Pacific,Jessica Castro,Social Media,False,,8.0,2021,11,4,Friday,False,0.3176649157097977,23.599326588080874
ORD_20200817_8080,2020-08-17,CUST_88972,76.0,Female,Standard,Books,Elite Device 674,29.75,1,29.75,0.0,0.0,0.15,4.46,10.32,34.22,Online,Debit Card,Latin America,Melissa Allen,Social Media,False,,9.0,2020,8,3,Monday,False,0.1959249482699786,6.704551729798668
ORD_20200222_6703,2020-02-22,CUST_83284,42.0,Female,Standard,Electronics,Pro Set 843,406.47,2,812.94,0.0,0.0,0.2,162.59,0.0,975.53,Online,Bank Transfer,Europe,Shannon Nguyen,Paid Search,False,,10.0,2020,2,1,Saturday,True,0.26642315172407893,259.9037772013907
ORD_20210219_5559,2021-02-19,CUST_13710,77.0,Other,Standard,Sports & Outdoors,Pro Kit 103,93.09,1,93.09,0.1459,13.58,0.08,6.36,5.52,85.87,Online,PayPal,North America,Kevin Fisher,Social Media,False,,8.0,2021,2,1,Friday,False,0.2864674795915242,24.598962472524182
ORD_20241124_4921,2024-11-24,CUST_85557,75.0,Female,Premium,Electronics,Elite Widget 208,841.06,1,841.06,0.0663,55.75,0.08,62.82,0.0,848.14,Retail Store,PayPal,North America,Donald Salazar,Social Media,False,,9.0,2024,11,4,Sunday,True,0.29031363275821953,246.2266044875563
ORD_20220630_5861,2022-06-30,CUST_87635,76.0,Male,Budget,Books,Deluxe Unit 750,8.33,1,8.33,0.0,0.0,0.1,0.83,5.19,9.16,Online,Debit Card,Asia Pacific,Sara Obrien,Email,False,,10.0,2022,6,2,Thursday,False,0.3101353108435839,2.840839447327229
ORD_20210509_4228,2021-05-09,CUST_98357,49.0,Male,Standard,Home & Garden,Premium Kit 323,131.67,1,131.67,0.0555,7.31,0.2,24.87,0.0,149.23,Mobile App,Debit Card,Europe,Charles Jones,Social Media,False,,9.0,2021,5,2,Sunday,True,0.2599982966622232,38.79954581090356
ORD_20240217_6380,2024-02-17,CUST_66690,53.0,Female,Enterprise,Health & Beauty,Premium Package 924,36.9,1,36.9,0.0,0.0,0.2,7.38,7.95,44.29,Phone,Debit Card,Europe,John Vance,Referral,False,,7.0,2024,2,1,Saturday,True,0.40712416215692215,18.031529141930083
ORD_20201025_2942,2020-10-25,CUST_31704,57.0,Male,Standard,Electronics,Premium System 391,449.05,1,449.05,0.0,0.0,0.2,89.81,0.0,538.85,Phone,Debit Card,Europe,Sandra Marshall,Direct,False,,6.0,2020,10,4,Sunday,True,0.17915352164833487,96.53687514020525
ORD_20220720_8380,2022-07-20,CUST_93705,74.0,Female,Premium,Books,Classic System 883,11.18,2,22.36,0.0,0.0,0.08,1.79,0.0,24.15,Third Party,Credit Card,North America,Victoria Powell,Direct,False,,,2022,7,3,Wednesday,False,0.3419362607187446,8.257760696357682
ORD_20200521_1173,2020-05-21,CUST_52525,54.0,Female,Budget,Automotive,Elite Kit 512,228.5,3,685.51,0.0635,43.56,0.15,96.29,0.0,738.24,Retail Store,Credit Card,Latin America,Elizabeth Dean,Organic Search,False,,6.0,2020,5,2,Thursday,False,0.1711159090711403,126.32460871267861
ORD_20240531_3900,2024-05-31,CUST_80685,68.0,Other,Premium,Health & Beauty,Pro Package 238,53.14,3,159.43,0.0782,12.46,0.1,14.7,0.0,161.66,Retail Store,Cash,Asia Pacific,Christopher Morales,Paid Search,False,,7.0,2024,5,2,Friday,False,0.42628968500803965,68.91399047839968
ORD_20231226_5391,2023-12-26,CUST_51304,39.0,Other,Enterprise,Sports & Outdoors,Basic System 339,187.73,1,187.73,0.0,0.0,0.05,9.39,0.0,197.12,Online,Credit Card,Middle East & Africa,Stanley Brown,Organic Search,False,,6.0,2023,12,4,Tuesday,False,0.4437911687852055,87.48011519093971
ORD_20210301_1252,2021-03-01,CUST_85683,52.0,Male,Standard,Home & Garden,Elite Package 181,184.49,1,184.49,0.0,0.0,0.2,36.9,0.0,221.38,Retail Store,Credit Card,Europe,Elizabeth Cunningham,Advertisement,True,Wrong Item,1.0,2021,3,1,Monday,False,0.232701995567627,51.515567778761266
ORD_20220519_4187,2022-05-19,CUST_89477,21.0,Male,Enterprise,Automotive,Standard Set 331,206.39,2,412.79,0.0,0.0,0.08,33.02,0.0,445.81,Retail Store,Bank Transfer,North America,Kimberly Nelson,Paid Search,False,,10.0,2022,5,2,Thursday,False,0.4108308226951025,183.15248906570366
ORD_20210806_9899,2021-08-06,CUST_28837,,Other,Budget,Clothing,Classic Kit 465,61.93,1,61.93,0.03,1.86,0.08,4.81,4.88,64.88,Mobile App,Credit Card,North America,Edward Haynes,Organic Search,False,,9.0,2021,8,3,Friday,False,0.22894066701959842,14.853670476231544
ORD_20210305_8425,2021-03-05,CUST_60645,64.0,Other,Enterprise,Sports & Outdoors,Classic Widget 926,129.15,1,129.15,0.0,0.0,0.08,10.33,0.0,139.48,Online,Debit Card,North America,Jackson Collins,Social Media,False,,6.0,2021,3,1,Friday,False,0.3452644892345491,48.157490958434906
ORD_20210705_8635,2021-07-05,CUST_68925,58.0,Male,Standard,Electronics,Deluxe Device 268,256.0,1,256.0,0.0637,16.31,0.2,47.94,0.0,287.64,Retail Store,Credit Card,Europe,Christopher Fry,Referral,False,,6.0,2021,7,3,Monday,False,0.38129536279569964,109.67579815455504
ORD_20241116_7765,2024-11-16,CUST_75004,78.0,Other,Enterprise,Sports & Outdoors,Pro Tool 957,112.2,3,336.6,0.0,0.0,0.1,33.66,0.0,370.26,Online,PayPal,Asia Pacific,Cameron Schwartz,Social Media,False,,6.0,2024,11,4,Saturday,True,0.25890689878761275,95.86286834510149
ORD_20230615_6872,2023-06-15,CUST_27394,33.0,Female,Enterprise,Automotive,Elite Unit 323,166.68,2,333.35,0.0,0.0,0.08,26.67,0.0,360.02,Online,Bank Transfer,North America,Angela Hampton,Organic Search,False,,,2023,6,2,Thursday,False,0.4058387157510649,146.11005444469836
ORD_20210822_5277,2021-08-22,CUST_30878,42.0,Female,Standard,Sports & Outdoors,Classic Tool 985,150.1,1,150.1,0.0,0.0,0.08,12.01,0.0,162.11,Online,Bank Transfer,North America,William Lamb,Organic Search,False,,10.0,2021,8,3,Sunday,True,0.20250900375647438,32.828734598962065
ORD_20220715_3016,2022-07-15,CUST_65808,,Other,Standard,Health & Beauty,Premium Unit 360,66.38,1,66.38,0.0284,1.89,0.08,5.16,2.78,69.65,Online,PayPal,North America,Nicole Reynolds,Direct,False,,10.0,2022,7,3,Friday,False,0.2832274162019377,19.726789538464963
ORD_20201122_3674,2020-11-22,CUST_50917,19.0,Male,Standard,Books,Classic Package 123,15.7,2,31.39,0.0,0.0,0.15,4.71,0.0,36.1,Third Party,Credit Card,Latin America,Andrew Brock Jr.,Organic Search,False,,7.0,2020,11,4,Sunday,True,0.31100234259352866,11.227184567626384
ORD_20200824_2705,2020-08-24,CUST_31174,31.0,Male,Premium,Automotive,Deluxe Widget 585,267.59,4,1070.37,0.0,0.0,0.08,85.63,0.0,1156.0,Retail Store,Credit Card,North America,Victoria Knox,Organic Search,False,,8.0,2020,8,3,Monday,False,0.296866626713544,343.1778204808569
ORD_20210516_2735,2021-05-16,CUST_66420,53.0,Male,Enterprise,Clothing,Classic System 915,29.9,2,59.8,0.0,0.0,0.1,5.98,0.95,65.78,Online,Debit Card,Asia Pacific,Carol Ellis,Referral,False,,7.0,2021,5,2,Sunday,True,0.21736773585563748,14.298449664583835
ORD_20231013_5041,2023-10-13,CUST_66113,78.0,Other,Premium,Books,Standard Widget 847,41.65,1,41.65,0.0,0.0,0.1,4.16,9.51,45.81,Mobile App,Credit Card,Asia Pacific,Joe Jones,Referral,False,,9.0,2023,10,4,Friday,False,0.3797202996638947,17.394986927603018
ORD_20230410_8018,2023-04-10,CUST_40829,,Female,Standard,Books,Standard Tool 896,41.94,1,41.94,0.0,0.0,0.08,3.35,10.68,45.29,Mobile App,Credit Card,North America,Kristin Mendez,Advertisement,False,,,2023,4,2,Monday,False,0.38185647885589635,17.294279927383545
ORD_20200818_5725,2020-08-18,CUST_55481,33.0,Female,Enterprise,Home & Garden,Basic Package 680,115.29,4,461.15,0.0,0.0,0.1,46.11,0.0,507.26,Online,Debit Card,Asia Pacific,Jeffrey Vaughn,Referral,False,,9.0,2020,8,3,Tuesday,False,0.3799685178681643,192.74283037380502
ORD_20200629_2954,2020-06-29,CUST_34441,25.0,Female,Standard,Health & Beauty,Deluxe Unit 346,38.4,1,38.4,0.0501,1.92,0.08,2.92,0.0,39.4,Third Party,PayPal,North America,Angelica Simpson,Social Media,False,,10.0,2020,6,2,Monday,False,0.365746806209733,14.41042416466348
ORD_20210814_1724,2021-08-14,CUST_53964,71.0,Other,Budget,Health & Beauty,Deluxe Package 605,51.73,4,206.93,0.0,0.0,0.2,41.39,0.0,248.31,Third Party,Credit Card,Europe,Travis Smith,Email,False,,9.0,2021,8,3,Saturday,True,0.19626721870312122,48.735113076172034
ORD_20200413_1475,2020-04-13,CUST_71255,45.0,Male,Standard,Sports & Outdoors,Basic Widget 290,115.24,1,115.24,0.0,0.0,0.08,9.22,0.0,124.46,Online,Debit Card,North America,Aaron Jacobs,Email,False,,8.0,2020,4,2,Monday,False,0.253762089746687,31.583229689872663
ORD_20210409_2314,2021-04-09,CUST_97400,58.0,Female,Standard,Books,Premium Widget 149,31.23,4,124.93,0.0566,7.07,0.08,9.43,0.0,127.29,Online,Cash,North America,Angela Garcia,Email,False,,8.0,2021,4,2,Friday,False,0.16478462996446133,20.975435548176286
ORD_20210624_1647,2021-06-24,CUST_88189,59.0,Female,Standard,Toys & Games,Premium Device 732,12.67,2,25.34,0.0,0.0,0.2,5.07,0.0,30.41,Retail Store,Cash,Europe,Alicia Curry,Advertisement,False,,9.0,2021,6,2,Thursday,False,0.43780043712156913,13.313511292866917
ORD_20240531_1375,2024-05-31,CUST_19311,31.0,Female,Enterprise,Toys & Games,Pro Kit 235,48.6,4,194.39,0.0703,13.66,0.1,18.07,0.0,198.81,Online,Cash,Asia Pacific,Susan Brady,Social Media,False,,7.0,2024,5,2,Friday,False,0.23372568331188176,46.467003099235214
ORD_20231218_3870,2023-12-18,CUST_17447,74.0,Female,Standard,Home & Garden,Deluxe Device 567,280.02,1,280.02,0.0,0.0,0.2,56.0,0.0,336.03,Online,Bank Transfer,Europe,Erica Kaufman,Paid Search,False,,6.0,2023,12,4,Monday,False,0.19558082194293702,65.72102359748513
ORD_20240719_5408,2024-07-19,CUST_38647,34.0,Male,Enterprise,Books,Basic System 462,52.15,1,52.15,0.0223,1.16,0.2,10.2,7.04,61.19,Online,Credit Card,Europe,Melinda Mitchell,Referral,False,,10.0,2024,7,3,Friday,False,0.40918126201355787,25.037801422609604
ORD_20230614_7512,2023-06-14,CUST_98946,31.0,Male,Enterprise,Sports & Outdoors,Premium Set 288,190.93,1,190.93,0.0208,3.97,0.08,14.96,0.0,201.92,Retail Store,Debit Card,North America,Karen Hartman,Advertisement,False,,10.0,2023,6,2,Wednesday,False,0.15708422003631703,31.718445709733132
ORD_20231215_7219,2023-12-15,CUST_56507,42.0,Female,Premium,Automotive,Basic Device 285,203.44,1,203.44,0.0,0.0,0.1,20.34,0.0,223.79,Retail Store,PayPal,Asia Pacific,James Fuller,Email,False,,10.0,2023,12,4,Friday,False,0.2972412402378315,66.51961715282431
ORD_20240120_9876,2024-01-20,CUST_18575,19.0,Female,Budget,Clothing,Pro Set 195,90.54,1,90.54,0.0,0.0,0.1,9.05,0.0,99.6,Retail Store,Cash,Asia Pacific,Lauren Moore,Advertisement,False,,9.0,2024,1,1,Saturday,True,0.3682525867867134,36.67795764395665
ORD_20220202_1686,2022-02-02,CUST_71597,52.0,Male,Standard,Toys & Games,Classic System 940,5.0,1,5.0,0.1308,0.65,0.08,0.35,0.0,4.69,Retail Store,Debit Card,North America,Kyle Hall MD,Advertisement,False,,6.0,2022,2,1,Wednesday,False,0.18308354840427427,0.8586618420160463
ORD_20241224_5340,2024-12-24,CUST_17418,37.0,Male,Standard,Sports & Outdoors,Premium Unit 396,182.77,2,365.54,0.0,0.0,0.05,18.28,0.0,383.82,Online,Credit Card,Middle East & Africa,Yvonne King,Organic Search,False,,10.0,2024,12,4,Tuesday,False,0.22175714304124083,85.11482664208906
ORD_20210823_4588,2021-08-23,CUST_55767,79.0,Female,Premium,Automotive,Premium Tool 986,218.85,1,218.85,0.0,0.0,0.08,17.51,0.0,236.36,Retail Store,Bank Transfer,North America,Marissa Oliver,Referral,False,,8.0,2021,8,3,Monday,False,0.2702691122650659,63.88080737497098
ORD_20211227_2318,2021-12-27,CUST_86564,61.0,Other,Budget,Books,Classic Device 899,27.18,2,54.37,0.0,0.0,0.08,4.35,6.8,58.72,Mobile App,Debit Card,North America,Shannon Cisneros,Organic Search,False,,9.0,2021,12,4,Monday,False,0.38111776746664594,22.379235305641448
